Team,PointsScored,TotalYds,PassYds,PassTD,Int,RushYds,RushTD,Season
Baltimore Ravens,0.818401937,0.735937933,0.320367534,0.617021277,0.214285714,1,0.692307692,2019
San Francisco 49ers,0.692493947,0.618453865,0.494027565,0.425531915,0.392857143,0.536915888,0.769230769,2019
Tampa Bay Buccaneers,0.641646489,0.692989748,0.816539051,0.531914894,1,0.170560748,0.461538462,2019
New Orleans Saints,0.641646489,0.586589083,0.632465544,0.595744681,0.142857143,0.271962617,0.346153846,2019
Kansas City Chiefs,0.624697337,0.610141313,0.710260337,0.468085106,0.107142857,0.192990654,0.5,2019
Dallas Cowboys,0.583535109,0.842061513,0.787748851,0.468085106,0.321428571,0.46588785,0.576923077,2019
New England Patriots,0.549636804,0.498476032,0.545788668,0.361702128,0.25,0.255607477,0.538461538,2019
Minnesota Vikings,0.518159806,0.496259352,0.411638591,0.382978723,0.214285714,0.456542056,0.615384615,2019
Seattle Seahawks,0.513317191,0.589082848,0.493721286,0.489361702,0.142857143,0.487850467,0.461538462,2019
Tennessee Titans,0.506053269,0.537545026,0.429709035,0.446808511,0.214285714,0.498598131,0.692307692,2019
Los Angeles Rams,0.486682809,0.591022444,0.710566616,0.29787234,0.535714286,0.160280374,0.653846154,2019
Philadelphia Eagles,0.464891041,0.528401219,0.506584992,0.404255319,0.214285714,0.36588785,0.5,2019
Atlanta Falcons,0.455205811,0.612357994,0.776416539,0.446808511,0.464285714,0.095794393,0.269230769,2019
Houston Texans,0.447941889,0.53394292,0.491271057,0.404255319,0.428571429,0.398598131,0.538461538,2019
Green Bay Packers,0.443099274,0.460792463,0.475957121,0.382978723,0.071428571,0.298598131,0.576923077,2019
Arizona Cardinals,0.406779661,0.443890274,0.39754977,0.255319149,0.357142857,0.389719626,0.576923077,2019
Indianapolis Colts,0.406779661,0.380437794,0.284532925,0.29787234,0.285714286,0.455140187,0.538461538,2019
Detroit Lions,0.358353511,0.46661125,0.527105666,0.425531915,0.464285714,0.230373832,0.153846154,2019
New York Giants,0.358353511,0.429758936,0.475344564,0.468085106,0.535714286,0.247196262,0.307692308,2019
Carolina Panthers,0.355932203,0.444444444,0.450535988,0.191489362,0.678571429,0.309813084,0.653846154,2019
Los Angeles Chargers,0.348668281,0.558049321,0.68820827,0.340425532,0.642857143,0.138785047,0.346153846,2019
Cleveland Browns,0.343825666,0.440565254,0.421133231,0.29787234,0.678571429,0.348130841,0.461538462,2019
Buffalo Bills,0.292978208,0.392906622,0.321592649,0.276595745,0.357142857,0.419626168,0.384615385,2019
Oakland Raiders,0.290556901,0.541424217,0.535068913,0.29787234,0.214285714,0.344392523,0.384615385,2019
Miami Dolphins,0.273607748,0.303408146,0.49770291,0.29787234,0.571428571,0,0.269230769,2019
Jacksonville Jaguars,0.259079903,0.444167359,0.484226646,0.340425532,0.214285714,0.257943925,0,2019
Pittsburgh Steelers,0.232445521,0.155998892,0.245635528,0.212765957,0.607142857,0.135981308,0.153846154,2019
Denver Broncos,0.215496368,0.252701579,0.286676876,0.170212766,0.285714286,0.236448598,0.307692308,2019
Chicago Bears,0.210653753,0.244943198,0.34058193,0.255319149,0.357142857,0.141121495,0.192307692,2019
Cincinnati Bengals,0.208232446,0.361318925,0.451148545,0.212765957,0.5,0.168691589,0.230769231,2019
New York Jets,0.200968523,0.139373788,0.285451761,0.234042553,0.5,0.047196262,0.115384615,2019
Washington Redskins,0.176755448,0.146855085,0.193874426,0.212765957,0.392857143,0.19953271,0.230769231,2019
Kansas City Chiefs,0.900726392,0.816015517,0.850229709,0.893617021,0.357142857,0.326635514,0.5,2018
Los Angeles Rams,0.808716707,0.796065392,0.713016845,0.510638298,0.357142857,0.502336449,0.769230769,2018
New Orleans Saints,0.753026634,0.610141313,0.570597243,0.531914894,0.178571429,0.406074766,0.884615385,2018
New England Patriots,0.588377724,0.673316708,0.636753446,0.446808511,0.321428571,0.411682243,0.576923077,2018
Indianapolis Colts,0.581113801,0.641174841,0.698928025,0.659574468,0.464285714,0.262616822,0.384615385,2018
Seattle Seahawks,0.569007264,0.495428096,0.279938744,0.574468085,0.178571429,0.656074766,0.461538462,2018
Los Angeles Chargers,0.569007264,0.581047382,0.584992343,0.510638298,0.357142857,0.335046729,0.5,2018
Pittsburgh Steelers,0.569007264,0.717096149,0.866462481,0.574468085,0.535714286,0.135046729,0.5,2018
Chicago Bears,0.552058111,0.453588252,0.424196018,0.425531915,0.428571429,0.365420561,0.5,2018
Atlanta Falcons,0.535108959,0.654197839,0.757733538,0.595744681,0.178571429,0.194859813,0.307692308,2018
Houston Texans,0.506053269,0.536713771,0.490658499,0.382978723,0.25,0.404205607,0.346153846,2018
Tampa Bay Buccaneers,0.491525424,0.771127736,0.90229709,0.595744681,0.857142857,0.171495327,0.307692308,2018
Baltimore Ravens,0.474576271,0.591299529,0.422358346,0.212765957,0.25,0.60046729,0.615384615,2018
Green Bay Packers,0.443099274,0.565253533,0.630627871,0.361702128,0.071428571,0.238785047,0.423076923,2018
Carolina Panthers,0.443099274,0.583818232,0.507503828,0.425531915,0.5,0.457943925,0.538461538,2018
New York Giants,0.426150121,0.507619839,0.572128637,0.319148936,0.357142857,0.230841121,0.384615385,2018
Cincinnati Bengals,0.423728814,0.306733167,0.340275651,0.404255319,0.392857143,0.245794393,0.384615385,2018
Philadelphia Eagles,0.421307506,0.548628429,0.641960184,0.446808511,0.321428571,0.193457944,0.346153846,2018
Minnesota Vikings,0.404358354,0.461069548,0.568759571,0.468085106,0.285714286,0.157476636,0.230769231,2018
Cleveland Browns,0.401937046,0.563868108,0.559877489,0.446808511,0.535714286,0.344392523,0.461538462,2018
San Francisco 49ers,0.360774818,0.527569964,0.516998469,0.382978723,0.642857143,0.348598131,0.153846154,2018
Dallas Cowboys,0.353510896,0.453311167,0.416232772,0.29787234,0.214285714,0.377102804,0.384615385,2018
New York Jets,0.338983051,0.25547243,0.301990812,0.212765957,0.607142857,0.217757009,0.307692308,2018
Denver Broncos,0.329297821,0.481296758,0.46431853,0.234042553,0.464285714,0.350934579,0.576923077,2018
Detroit Lions,0.317191283,0.379883624,0.427871363,0.29787234,0.357142857,0.235514019,0.307692308,2018
Miami Dolphins,0.305084746,0.214186755,0.220826953,0.382978723,0.392857143,0.271962617,0.153846154,2018
Tennessee Titans,0.283292978,0.315045719,0.243797856,0.170212766,0.357142857,0.407009346,0.461538462,2018
Oakland Raiders,0.234866828,0.419506789,0.481470138,0.234042553,0.285714286,0.220560748,0.230769231,2018
Washington Redskins,0.213075061,0.257689111,0.257886677,0.170212766,0.464285714,0.288785047,0.346153846,2018
Buffalo Bills,0.18401937,0.252978664,0.188361409,0.106382979,0.75,0.386915888,0.461538462,2018
Jacksonville Jaguars,0.12590799,0.267941258,0.284839204,0.14893617,0.392857143,0.264953271,0.153846154,2018
Arizona Cardinals,0.07748184,0,0.105359877,0.14893617,0.571428571,0.086915888,0.230769231,2018
Los Angeles Rams,0.690072639,0.53172624,0.505972435,0.425531915,0.178571429,0.372429907,0.538461538,2017
New England Patriots,0.641646489,0.676641729,0.68575804,0.510638298,0.214285714,0.342523364,0.5,2017
Philadelphia Eagles,0.639225182,0.550568024,0.477182236,0.638297872,0.25,0.448130841,0.230769231,2017
New Orleans Saints,0.617433414,0.663341646,0.615620214,0.319148936,0.214285714,0.427102804,0.769230769,2017
Jacksonville Jaguars,0.542372881,0.55139928,0.433078101,0.276595745,0.392857143,0.51682243,0.576923077,2017
Kansas City Chiefs,0.537530266,0.593516209,0.589586524,0.382978723,0.214285714,0.349065421,0.346153846,2017
Detroit Lions,0.525423729,0.426433915,0.613782542,0.446808511,0.321428571,0.030373832,0.269230769,2017
Pittsburgh Steelers,0.515738499,0.604599612,0.674119449,0.446808511,0.464285714,0.238785047,0.346153846,2017
Baltimore Ravens,0.489104116,0.282903851,0.260643185,0.255319149,0.392857143,0.327102804,0.423076923,2017
Minnesota Vikings,0.457627119,0.511221945,0.482082695,0.361702128,0.214285714,0.374299065,0.461538462,2017
Seattle Seahawks,0.418886199,0.393737878,0.452679939,0.553191489,0.357142857,0.221028037,0.038461538,2017
Carolina Panthers,0.411622276,0.364089776,0.275038285,0.29787234,0.5,0.442056075,0.461538462,2017
Los Angeles Chargers,0.392251816,0.598780826,0.689739663,0.425531915,0.321428571,0.205140187,0.269230769,2017
Dallas Cowboys,0.389830508,0.400665004,0.294640123,0.29787234,0.392857143,0.473831776,0.576923077,2017
Atlanta Falcons,0.387409201,0.546411748,0.55467075,0.276595745,0.357142857,0.322897196,0.346153846,2017
Washington Redskins,0.360774818,0.369631477,0.481470138,0.404255319,0.392857143,0.136448598,0.269230769,2017
Houston Texans,0.351089588,0.347741757,0.336600306,0.425531915,0.535714286,0.320560748,0.192307692,2017
Tampa Bay Buccaneers,0.343825666,0.540038792,0.669831547,0.382978723,0.428571429,0.136448598,0.192307692,2017
Tennessee Titans,0.341404358,0.32114159,0.309954058,0.127659574,0.535714286,0.31635514,0.576923077,2017
San Francisco 49ers,0.334140436,0.477140482,0.534762634,0.14893617,0.464285714,0.236448598,0.461538462,2017
Green Bay Packers,0.307506053,0.284289277,0.302603369,0.361702128,0.571428571,0.265420561,0.384615385,2017
Buffalo Bills,0.263922518,0.270712109,0.197856049,0.170212766,0.285714286,0.402336449,0.346153846,2017
Oakland Raiders,0.261501211,0.365752286,0.444716692,0.319148936,0.428571429,0.185981308,0.384615385,2017
New York Jets,0.254237288,0.282349681,0.30719755,0.234042553,0.357142857,0.255140187,0.384615385,2017
Arizona Cardinals,0.246973366,0.321695761,0.447473201,0.276595745,0.571428571,0.107476636,0.115384615,2017
Cincinnati Bengals,0.234866828,0.172623996,0.288820827,0.361702128,0.357142857,0.098130841,0.115384615,2017
Denver Broncos,0.232445521,0.365752286,0.353445636,0.234042553,0.714285714,0.325233645,0.192307692,2017
Miami Dolphins,0.213075061,0.293155999,0.415313936,0.340425532,0.678571429,0.108411215,0.038461538,2017
Chicago Bears,0.171912833,0.203380438,0.193568147,0.106382979,0.357142857,0.295327103,0.384615385,2017
Indianapolis Colts,0.169491525,0.190634525,0.218376723,0.106382979,0.25,0.235981308,0.307692308,2017
New York Giants,0.128329298,0.322249931,0.398162328,0.255319149,0.428571429,0.18364486,0.115384615,2017
Cleveland Browns,0.099273608,0.298420615,0.321286371,0.14893617,0.928571429,0.260747664,0.307692308,2017
Atlanta Falcons,0.840193705,0.772513162,0.779785605,0.638297872,0.178571429,0.360747664,0.653846154,2016
New Orleans Saints,0.668280872,0.817678027,0.886676876,0.638297872,0.464285714,0.273831776,0.538461538,2016
New England Patriots,0.600484262,0.641451926,0.652067381,0.510638298,0,0.334579439,0.615384615,2016
Green Bay Packers,0.578692494,0.563868108,0.618683002,0.680851064,0.214285714,0.254672897,0.307692308,2016
Dallas Cowboys,0.552058111,0.599057911,0.444716692,0.361702128,0.142857143,0.579439252,0.807692308,2016
Arizona Cardinals,0.544794189,0.555001385,0.599387443,0.425531915,0.535714286,0.269158879,0.653846154,2016
Oakland Raiders,0.539951574,0.584095317,0.573353752,0.446808511,0.178571429,0.357943925,0.538461538,2016
